author_id,journal_id,n_papers,topic_match_intra,work_ids
https://openalex.org/A5090320352,https://openalex.org/S4210173132,13,0.7524,https://openalex.org/W2910176920;https://openalex.org/W2913029579;https://openalex.org/W4385343441;https://openalex.org/W3194046117;https://openalex.org/W4387024385;https://openalex.org/W4399179674;https://openalex.org/W4366090730;https://openalex.org/W4386246370;https://openalex.org/W4281736224;https://openalex.org/W4389991944;https://openalex.org/W4296526146;https://openalex.org/W4319000683;https://openalex.org/W4400009188
https://openalex.org/A5090320352,https://openalex.org/S4210205812,2,0.7568,https://openalex.org/W4389487331;https://openalex.org/W4383818068
https://openalex.org/A5090320352,https://openalex.org/S4210219776,2,0.7545,https://openalex.org/W2746966637;https://openalex.org/W2757947813
https://openalex.org/A5072631017,https://openalex.org/S2485537415,5,0.8694,https://openalex.org/W4206385874;https://openalex.org/W4285191770;https://openalex.org/W4312537919;https://openalex.org/W4213364920;https://openalex.org/W4294871833
https://openalex.org/A5072631017,https://openalex.org/S4210206423,5,0.8543,https://openalex.org/W4362665748;https://openalex.org/W4309663545;https://openalex.org/W4324141208;https://openalex.org/W4387265282;https://openalex.org/W4392125619
https://openalex.org/A5072631017,https://openalex.org/S196734849,6,0.7813,https://openalex.org/W4224237294;https://openalex.org/W4225843102;https://openalex.org/W4389396452;https://openalex.org/W4378901572;https://openalex.org/W4282938250;https://openalex.org/W4382137125
https://openalex.org/A5072631017,https://openalex.org/S101949793,5,0.7472,https://openalex.org/W3189033801;https://openalex.org/W3211367374;https://openalex.org/W4206918024;https://openalex.org/W3179292964;https://openalex.org/W4214689360
https://openalex.org/A5072631017,https://openalex.org/S4210178049,5,0.6924,https://openalex.org/W4385953737;https://openalex.org/W4379058609;https://openalex.org/W4280649213;https://openalex.org/W4220846003;https://openalex.org/W4388533824
https://openalex.org/A5057217204,https://openalex.org/S2485537415,7,0.7297,https://openalex.org/W3040989605;https://openalex.org/W3004894624;https://openalex.org/W2922032333;https://openalex.org/W3038588646;https://openalex.org/W2996373059;https://openalex.org/W4382468183;https://openalex.org/W3197363096
https://openalex.org/A5057217204,https://openalex.org/S4210192031,12,0.7576,https://openalex.org/W4283825665;https://openalex.org/W4210525149;https://openalex.org/W4311111663;https://openalex.org/W3208021954;https://openalex.org/W4303856786;https://openalex.org/W4210479225;https://openalex.org/W3200802697;https://openalex.org/W4210744365;https://openalex.org/W3202596486;https://openalex.org/W4223501034;https://openalex.org/W4281673962;https://openalex.org/W4321375188
